"regulation_code","regulation_name","regulation_short_name","comtrade_primary_code","commodity_short_name","hs_4d_code","hs_4d_name","hs_6d_code","hs_6d_name","fao_code","fao_name","bp","fao_parent_code","fao_primary_code","in_mapping_table","match"
"382311","Stearic acid, industrial ","Industrial stearic acid","120710","Palm oil fruit","3823","Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols","382311","Industrial monocarboxylic fatty acids, acid oils from refining; stearic acid","1276","Industrial monocarboxylic fatty acids; acid oils from refining","0","258","254","1","partial"
"290545","Glycerol","Glycerol","120710","Palm oil fruit","2905","Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives","290545","Alcohols; polyhydric, glycerol","NA","NA","NA","NA","254","0","missing"
"291570","Palmitic acid, stearic acid, their salts and esters ","Palmitic and stearic acids","120710","Palm oil fruit","2915","Acids; saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives","291570","Acids; saturated acyclic monocarboxylic acids; palmitic acid, stearic acid, their salts and esters","NA","NA","NA","NA","254","0","missing"
"382312","Oleic acid, industrial","Industrial oleic acid","120710","Palm oil fruit","3823","Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols","382312","Industrial monocarboxylic fatty acids, acid oils from refining; oleic acid","1276","Industrial monocarboxylic fatty acids; acid oils from refining","0","258","254","1","partial"
"1201","Soya beans, whether or not broken","Soya beans","1201","Soya","1201","Soya beans, whether or not broken","120100","Soya beans; whether or not broken","236","Soya beans","0","236","236","1","partial"
"1201","Soya beans, whether or not broken","Soya beans","1201","Soya","1201","Soya beans, whether or not broken","120110","Soya beans; seed, whether or not broken","236","Soya beans","0","236","236","1","partial"
"1201","Soya beans, whether or not broken","Soya beans","1201","Soya","1201","Soya beans, whether or not broken","120190","Soya beans; other than seed, whether or not broken","236","Soya beans","0","236","236","1","partial"
"120810","Soya bean flour and meal","soya bean flour and meal","1201","Soya","1208","Flours and meals of oil seeds or oleaginous fruits; other than those of mustard","120810","Flours and meals; of soya beans","343","Flours and meals of oil seeds or oleaginous fruits; except those of mustard","0","236","236","1","partial"
"1507","Soya-bean oil and its fractions, whether or not refined, but not chemically modified","Soya bean oil","1201","Soya","1507","Soya-bean oil and its fractions; whether or not refined, but not chemically modified","150710","Vegetable oils; soya-bean oil and its fractions, crude, whether or not degummed, not chemically modified","237","Soya bean oil","1","236","236","1","partial"
"1507","Soya-bean oil and its fractions, whether or not refined, but not chemically modified","Soya bean oil","1201","Soya","1507","Soya-bean oil and its fractions; whether or not refined, but not chemically modified","150790","Vegetable oils; soya-bean oil and its fractions, other than crude, whether or not refined, but not chemically modified","237","Soya bean oil","1","236","236","1","partial"
"2304","Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil","Soya bean cake","1201","Soya","2304","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil","230400","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil","238","Cake of  soya beans","1","236","236","1","total"
"1005","Maize (corn)","Maize","1005","Maize","1005","Maize (corn)","100510","Cereals; maize (corn), seed","56","Maize (corn)","0","56","56","1","partial"
"1005","Maize (corn)","Maize","1005","Maize","1005","Maize (corn)","100590","Cereals; maize (corn), other than seed","56","Maize (corn)","0","56","56","1","partial"
"110220","Cereal flour; of maize (corn)","Maize flour","1005","Maize","1102","Cereal flours; other than of wheat or meslin","110220","Cereal flour; of maize (corn)","58","Flour of maize","0","56","56","1","partial"
