fao_product_code,fao_product,extraction_rate_mean,extraction_rate_min,extraction_rate_max,extraction_rate_std,extraction_rate_count,waste_of_supply_mean,waste_of_supply_min,waste_of_supply_max,waste_of_supply_std,waste_of_supply_count,extraction_rate_flag,waste_of_supply_flag
475,vegetables_preserved_frozen,0.838,0.65,1.0,0.09119576013536301,25,0.030000000000000002,0.01,0.05,0.028284271247461905,2,1,1
486,bananas,NA,NA,NA,NA,0,0.09175657894736843,0.006999999999999999,0.3,0.05741806678665612,152,0,1
490,oranges,NA,NA,NA,NA,0,0.07768702290076336,0.003,0.34,0.04476023028219198,131,0,1
491,juice_orange_single_strength,0.6192857142857142,0.38,0.8,0.11633410374167927,42,NA,NA,NA,NA,0,1,0
492,juice_orange_concentrated,0.1847142857142857,0.06,0.6,0.135840646783948,14,NA,NA,NA,NA,0,1,0
495,tangerines_mandarins_clementines_satsumas,0.1,0.1,0.1,NA,1,0.07059722222222223,0.01,0.2,0.03751982001001238,72,1,1
497,lemons_and_limes,NA,NA,NA,NA,0,0.07260576923076924,0.01,0.2,0.03738059780964482,104,0,1
498,juice_lemon_single_strength,0.450625,0.3,0.65,0.10285710152115574,16,NA,NA,NA,NA,0,1,0
499,juice_lemon_concentrated,0.2875,0.08,0.55,0.17285419123808202,8,NA,NA,NA,NA,0,1,0
507,grapefruit_inc_pomelos_,NA,NA,NA,NA,0,0.07132183908045978,0.002,0.2,0.04423733408345279,87,0,1
509,juice_grapefruit,0.5116666666666666,0.4,0.7,0.13272779161376363,6,NA,NA,NA,NA,0,1,0
510,juice_grapefruit_concentrated,0.15913043478260872,0.08,0.26,0.060970413352279526,23,NA,NA,NA,NA,0,1,0
513,juice_citrus_single_strength,NA,NA,NA,NA,0,0.09000000000000001,0.05,0.14,0.028722813232690145,9,0,1
514,juice_citrus_concentrated,0.281875,0.13,0.7,0.15921552478741932,16,NA,NA,NA,NA,0,1,0
515,apples,NA,NA,NA,NA,0,0.06646902654867257,0.003,0.17,0.037056441216758454,113,0,1
518,juice_apple_single_strength,0.5363333333333333,0.3,0.8,0.12265688991523534,30,NA,NA,NA,NA,0,1,0
519,juice_apple_concentrated,0.41333333333333333,0.08,0.7,0.2575878785026872,12,NA,NA,NA,NA,0,1,0
521,pears,NA,NA,NA,NA,0,0.07652173913043478,0.002,0.25,0.04818291116993991,92,0,1
523,quinces,NA,NA,NA,NA,0,0.086075,0.02,0.2,0.038747299326897675,40,0,1
526,apricots,NA,NA,NA,NA,0,0.08345454545454545,0.015,0.5,0.061149295692071254,66,0,1
527,apricots_dry,0.296,0.18,0.4,0.07797435475847171,5,0.1755,0.051,0.3,0.17606958851545035,2,1,1
531,cherries,NA,NA,NA,NA,0,0.0893529411764706,0.0,0.25,0.04505766240248678,51,0,1
534,peaches_and_nectarines,NA,NA,NA,NA,0,0.07784146341463415,0.015,0.17,0.03483026550807275,82,0,1
537,plums_dried_prunes_,0.32166666666666666,0.2,0.43,0.07376028545325,24,0.035,0.01,0.05,0.01957890020745122,10,1,1
539,juice_plum_concentrated,0.18025,0.08,0.48,0.0981201599543829,20,NA,NA,NA,NA,0,1,0
544,strawberries,NA,NA,NA,NA,0,0.07792592592592593,0.01,0.2,0.04110586968683902,54,0,1
549,gooseberries,NA,NA,NA,NA,0,0.07266666666666667,0.022000000000000002,0.1,0.027994588221600433,12,0,1
550,currants,NA,NA,NA,NA,0,0.06265217391304348,0.017,0.14,0.030589078109755828,23,0,1
552,blueberries,NA,NA,NA,NA,0,0.06455555555555556,0.009000000000000001,0.1,0.03577398185522235,9,0,1
554,cranberries,NA,NA,NA,NA,0,0.06720000000000001,0.036000000000000004,0.1,0.03048278202526797,5,0,1
560,grapes,NA,NA,NA,NA,0,0.07002666666666668,0.002,0.17,0.039031855781729956,75,0,1
561,raisins,0.26925925925925925,0.18,0.5,0.06539383209717317,27,0.04147222222222222,0.001,0.12,0.03277497835772293,36,1,1
562,juice_grape,0.71,0.4,0.9,0.13838352503098048,9,NA,NA,NA,NA,0,1,0
564,wine,0.7037878787878789,0.45,0.95,0.09000453239040715,66,0.02125,0.002,0.061,0.0194194139037108,12,1,1
567,watermelons,NA,NA,NA,NA,0,0.092125,0.001,0.25,0.051705899083180046,96,0,1
569,figs,NA,NA,NA,NA,0,0.08869565217391305,0.02,0.2,0.03936206270860724,46,0,1
